广东频道,#genre#
广东卫视,http://192.168.31.129:7088/udp/239.77.0.84:5146
广东珠江,http://192.168.31.129:7088/udp/239.77.0.1:5146
广东新闻,http://192.168.31.129:7088/udp/239.77.0.173:5146
广东民生,http://192.168.31.129:7088/udp/239.77.0.225:5146
广东体育,http://192.168.31.129:7088/udp/239.77.0.112:5146
经济科教,http://192.168.31.129:7088/udp/239.77.0.85:5146
大湾区卫视,http://192.168.31.129:7088/udp/239.77.0.215:5146
广东影视,http://192.168.31.129:7088/udp/239.77.0.217:5146
广东少儿,http://192.168.31.129:7088/udp/239.77.0.250:5146
嘉佳卡通,http://192.168.31.129:7088/udp/239.77.0.179:5146
南方购物,http://192.168.31.129:7088/udp/239.77.0.22:5146
岭南戏曲,http://192.168.31.129:7088/udp/239.77.0.122:5146
现代教育,http://192.168.31.129:7088/udp/239.77.0.213:5146

广州频道,#genre#
广东移动,http://192.168.31.129:7088/rtp/239.77.0.20:5146
广州综合,http://192.168.31.129:7088/rtp/239.253.43.71:5146
广州新闻,http://192.168.31.129:7088/rtp/239.253.43.72:5146
广州影视,http://192.168.31.129:7088/rtp/239.253.43.73:5146
广州法治,http://192.168.31.129:7088/rtp/239.253.43.74:5146
广州竞赛,http://192.168.31.129:7088/rtp/239.253.43.75:5146

央视,#genre#
CCTV-1,http://192.168.31.129:7088/udp/239.77.0.86:5146
CCTV-2,http://192.168.31.129:7088/udp/239.77.0.137:5146
CCTV-3,http://192.168.31.129:7088/udp/239.77.0.169:5146
CCTV-4,http://192.168.31.129:7088/udp/239.77.0.78:5146
CCTV-5,http://192.168.31.129:7088/udp/239.77.0.170:5146
CCTV-6,http://192.168.31.129:7088/udp/239.77.0.171:5146
CCTV-7,http://192.168.31.129:7088/udp/239.77.0.138:5146
CCTV-8,http://192.168.31.129:7088/udp/239.77.0.172:5146
CCTV-9,http://192.168.31.129:7088/udp/239.77.0.135:5146
CCTV-10,http://192.168.31.129:7088/udp/239.77.0.134:5146
CCTV-11,http://192.168.31.129:7088/udp/239.77.1.238:5146
CCTV-12,http://192.168.31.129:7088/udp/239.77.0.136:5146
CCTV-13,http://192.168.31.129:7088/udp/239.77.0.188:5146
CCTV-14,http://192.168.31.129:7088/udp/239.77.0.133:5146
CCTV-15,http://192.168.31.129:7088/udp/239.77.1.239:5146
CCTV-16,http://192.168.31.129:7088/udp/239.77.0.165:5146
CCTV-17农业,http://192.168.31.129:7088/udp/239.77.0.198:5146

卫视频道,#genre#
湖南卫视,http://192.168.31.129:7088/udp/239.77.0.88:5146
浙江卫视,http://192.168.31.129:7088/udp/239.77.0.89:5146
江苏卫视,http://192.168.31.129:7088/udp/239.77.0.90:5146
东方卫视,http://192.168.31.129:7088/udp/239.77.0.98:5146
安徽卫视,http://192.168.31.129:7088/udp/239.77.0.183:5146
北京卫视,http://192.168.31.129:7088/udp/239.77.0.91:5146
天津卫视,http://192.168.31.129:7088/udp/239.77.0.97:5146
山东卫视,http://192.168.31.129:7088/udp/239.77.0.94:5146
江西卫视,http://192.168.31.129:7088/udp/239.77.0.149:5146
深圳卫视,http://192.168.31.129:7088/udp/239.77.0.92:5146
湖北卫视,http://192.168.31.129:7088/udp/239.77.0.95:5146
辽宁卫视,http://192.168.31.129:7088/udp/239.77.0.123:5146
黑龙江卫视,http://192.168.31.129:7088/udp/239.77.0.93:5146
贵州卫视,http://192.168.31.129:7088/udp/239.77.0.230:5146
四川卫视,http://192.168.31.129:7088/udp/239.77.0.159:5146
河南卫视,http://192.168.31.129:7088/udp/239.77.0.17:5146
云南卫视,http://192.168.31.129:7088/udp/239.253.43.100:5146
重庆卫视,http://192.168.31.129:7088/udp/239.77.0.182:5146
河北卫视,http://192.168.31.129:7088/udp/239.77.0.148:5146
东南卫视,http://192.168.31.129:7088/udp/239.77.0.146:5146
广西卫视,http://192.168.31.129:7088/udp/239.77.0.139:5146
吉林卫视,http://192.168.31.129:7088/udp/239.77.0.150:5146
陕西卫视,http://192.168.31.129:7088/udp/239.77.0.68:5146
山西卫视,http://192.168.31.129:7088/udp/239.77.0.69:5146
内蒙古卫视,http://192.168.31.129:7088/udp/239.77.0.70:5146
青海卫视,http://192.168.31.129:7088/udp/239.253.43.125:5146
海南卫视,http://192.168.31.129:7088/udp/239.253.43.101:5146
宁夏卫视,http://192.168.31.129:7088/udp/239.77.0.73:5146
西藏卫视,http://192.168.31.129:7088/udp/239.77.0.74:5146
新疆卫视,http://192.168.31.129:7088/udp/239.77.0.75:5146
甘肃卫视,http://192.168.31.129:7088/udp/239.77.0.189:5146
兵团卫视,http://192.168.31.129:7088/udp/239.77.0.77:5146
厦门卫视,http://192.168.31.129:7088/udp/239.77.0.96:5146
三沙卫视,http://192.168.31.129:7088/udp/239.253.43.113:5146
吉林延边卫视,http://192.168.31.129:7088/udp/239.77.0.10:5146
